2022-04-01 00:30:39,870 | main | INFO | Starting program...
2022-04-01 00:30:39,870 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-01 00:30:39,986 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-01 00:30:39,990 | bot | INFO | Bot Subclass Created.
2022-04-01 00:30:40,001 | bot | INFO | Cog loaded: ErrorHandler
2022-04-01 00:30:40,016 | bot | INFO | Cog loaded: OCPcommands
2022-04-01 00:30:40,020 | bot | INFO | Cog loaded: CPcommands
2022-04-01 00:30:40,027 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-01 00:30:40,035 | bot | INFO | Cog loaded: AdminCommands
2022-04-01 03:59:35,116 | main | INFO | Starting program...
2022-04-01 03:59:35,130 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-01 03:59:35,173 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-01 03:59:35,174 | bot | INFO | Bot Subclass Created.
2022-04-01 03:59:35,178 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-01 03:59:35,180 | bot | INFO | Cog loaded: OCPcommands
2022-04-01 03:59:35,185 | bot | INFO | Cog loaded: AdminCommands
2022-04-01 03:59:35,186 | bot | INFO | Cog loaded: ErrorHandler
2022-04-01 03:59:35,187 | bot | INFO | Cog loaded: CPcommands
2022-04-01 09:02:36,046 | main | INFO | Starting program...
2022-04-01 09:02:36,047 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-01 09:02:36,128 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-01 09:02:36,130 | bot | INFO | Bot Subclass Created.
2022-04-01 09:02:36,140 | bot | INFO | Cog loaded: AdminCommands
2022-04-01 09:02:36,145 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-01 09:02:36,147 | bot | INFO | Cog loaded: ErrorHandler
2022-04-01 09:02:36,150 | bot | INFO | Cog loaded: CPcommands
2022-04-01 09:02:36,156 | bot | INFO | Cog loaded: OCPcommands
2022-04-02 02:52:27,940 | main | INFO | Starting program...
2022-04-02 02:52:27,941 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-02 02:52:28,032 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-02 02:52:28,034 | bot | INFO | Bot Subclass Created.
2022-04-02 02:52:28,045 | bot | INFO | Cog loaded: CPcommands
2022-04-02 02:52:28,058 | bot | INFO | Cog loaded: AdminCommands
2022-04-02 02:52:28,068 | bot | INFO | Cog loaded: CrusaderProfile
